Date,Brand,Followers,Following,Tweets,All_Tweets,YT_Video,YT_All_Videos,YT_Views,YT_All_Views
"Jul 31, 2013",Staples.com,,,,,Let's Build It Lego Lunchbox #StaplesHasIt,11,275,4656
"Jul 31, 2013",Staples.com,,,,,Perfect Fit Sneaker Pencil Pouch #StaplesHasIt,11,203,4656
"Jul 26, 2013",Staples.com,,,,,Everything they need. #StaplesHasIt,11,506,4656
"Jul 25, 2013",Staples.com,,,,,Totally Street Graffiti Folder #StaplesHasIt,11,208,4656
"Jul 23, 2013",Staples.com,,,,,Arc Customizable Notebook — A Staples® exclusive,11,596,4656
"Jul 23, 2013",Staples.com,,,,,Staples introduces the Arc Customizable Notebook with 8 Unique Covers,11,405,4656
"Jul 19, 2013",Staples.com,,,,,Perfectly Polished Binder #StaplesHasIt,11,397,4656
"Jul 08, 2013",Staples.com,,,,,Wild Tablet Case Style #StaplesHasIt,11,200,4656
"Jul 08, 2013",Staples.com,,,,,Hungry for More Pencil Pouches #StaplesHasIt,11,1538,4656
"Jul 03, 2013",Staples.com,,,,,Fireworks. Staples style.,11,195,4656
"Jun 04, 2013",Staples.com,,,,,Small Business Tips from Staples: 5 Steps to Create a Marketing Plan,11,133,4656
"Jun 17, 2013",Apple.com,,,,,Apple - WWDC 2013,5,332606,3484150
"Jun 12, 2013",Apple.com,,,,,Apple - iOS 7. Coming this fall.,5,917101,3484150
"Jun 11, 2013",Apple.com,,,,,Apple - Making a difference. One app at a time.,5,558430,3484150
"Jun 11, 2013",Apple.com,,,,,Apple - TV Ad - Our Signature,5,671525,3484150
"Jun 11, 2013",Apple.com,,,,,Apple - Designed By Apple - Intention,5,1004488,3484150
"Jul 29, 2013",Walmart.com,,,,,Low Price Guarantee - Lisa,147,581,50050
"Jul 29, 2013",Walmart.com,,,,,Low Price Guarantee on Blueberries - Lisa,147,152,50050
"Jul 29, 2013",Walmart.com,,,,,Low Price Guarantee - Mikel-Claire,147,174,50050
"Jul 29, 2013",Walmart.com,,,,,Low Price Guarantee - Rachel,147,219,50050
"Jul 29, 2013",Walmart.com,,,,,Low Price Guarantee - The Honeycutts,147,211,50050
"Jul 24, 2013",Walmart.com,,,,,Bristol Loves the Everyday Low Prices of Walmart Neighborhood Market,147,1293,50050
"Jul 24, 2013",Walmart.com,,,,,Sherman Heights Saves with Walmart Neighborhood Market,147,686,50050
"Jul 24, 2013",Walmart.com,,,,,Torrance Gives a Sunny Welcome to Walmart Neighborhood Market,147,854,50050
"Jul 24, 2013",Walmart.com,,,,,Low Price Guarantee - Diane,147,1618,50050
"Jul 24, 2013",Walmart.com,,,,,Low Price Guarantee - Gloria,147,1132,50050
"Jul 24, 2013",Walmart.com,,,,,Low Price Guarantee - Maria,147,6642,50050
"Jul 23, 2013",Walmart.com,,,,,Walmart Mom Renee at Essence Festival,147,81,50050
"Jul 18, 2013",Walmart.com,,,,,Walmart's Commitment to Creating American Jobs,147,467,50050
"Jul 18, 2013",Walmart.com,,,,,Hanna's Candles: Walmart Continues Commitment to American Manufacturing,147,773,50050
"Jul 15, 2013",Walmart.com,,,,,Walmart's Veterans Welcome Home Commitment,147,514,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: West Palm Beach,147,289,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Tallahassee,147,354,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Sioux City,147,325,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Seattle,147,229,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Scranton,147,209,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Savannah,147,200,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: San Diego,147,143,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: San Diego,147,259,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Portland,147,138,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Orlando,147,120,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Orlando,147,291,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: New Orleans,147,263,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Nashville,147,146,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Mobile,147,190,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Milwaukee,147,153,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Memphis,147,151,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Louisville,147,101,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Indianapolis,147,166,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Houston,147,120,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Houston,147,133,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Harrisburg,147,125,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Hampton Roads,147,206,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Greenville,147,174,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Fort Myers,147,135,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Dayton,147,152,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Colorado Springs,147,153,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Cleveland,147,178,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Charleston,147,204,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Buffalo,147,271,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Boston,147,476,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Birmingham,147,514,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Albuquerque,147,301,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Albuquerque,147,500,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Albany,147,1309,50050
"Jul 02, 2013",Walmart.com,,,,,See For Yourself: Wichita,147,288,50050
"Jul 02, 2013",Walmart.com,,,,,Walmart Neighborhood Market Offers Texas-Sized Savings to Bryan,147,547,50050
"Jul 02, 2013",Walmart.com,,,,,Low Price Guarantee Independence Day - Veronica: 15 Spanish,147,242,50050
"Jul 02, 2013",Walmart.com,,,,,Low Price Guarantee Independence Day - Veronica: 30 Spanish,147,284,50050
"Jul 02, 2013",Walmart.com,,,,,Low Price Guarantee Independence Day - Yolanda: 15 Spanish,147,249,50050
"Jul 02, 2013",Walmart.com,,,,,Low Price Guarantee Independence Day - Yolanda: 30 Spanish,147,1482,50050
"Jul 01, 2013",Walmart.com,,,,,Stone Fruit - Peaches Spanish,147,399,50050
"Jun 28, 2013",Walmart.com,,,,,Sandi Knows Savings,147,710,50050
"Jun 28, 2013",Walmart.com,,,,,Fire up the Savings,147,517,50050
"Jun 28, 2013",Walmart.com,,,,,"Coolers, Sunscreen and Towels... now on Rollback",147,635,50050
"Jun 28, 2013",Walmart.com,,,,,Get More Summer for Your Money,147,2591,50050
"Jun 26, 2013",Walmart.com,,,,,"Virginia Beach Says ""Hello"" to Walmart Neighborhood Market",147,905,50050
"Jun 24, 2013",Walmart.com,,,,,Walmart Neighborhood Market Brings Everyday Low Prices to Greater Jacksonville Area,147,609,50050
"Jun 21, 2013",Walmart.com,,,,,"New Walmart Supercenter Comes to Chatham County, NC",147,538,50050
"Jun 21, 2013",Walmart.com,,,,,Military Heroes General Mills Spanish,147,244,50050
"Jun 21, 2013",Walmart.com,,,,,Military Heroes Spanish,147,256,50050
"Jun 21, 2013",Walmart.com,,,,,Let's Growl Back Spanish,147,247,50050
"Jun 21, 2013",Walmart.com,,,,,Let's Growl Back Spanish,147,218,50050
"Jun 21, 2013",Walmart.com,,,,,Let's Growl Back Spanish,147,229,50050
"Jun 21, 2013",Walmart.com,,,,,Let's Growl Back Spanish,147,288,50050
"Jun 20, 2013",Walmart.com,,,,,Blue Springs Gets Everyday Low Prices with Walmart Neighborhood Market,147,506,50050
"Jun 19, 2013",Walmart.com,,,,,Deck out the Dorm with Tech,147,307,50050
"Jun 19, 2013",Walmart.com,,,,,5 Tips for an Organized Dorm Room,147,485,50050
"Jun 19, 2013",Walmart.com,,,,,Study Gear for Your Dorm Room,147,281,50050
"Jun 19, 2013",Walmart.com,,,,,How to Cook Poached Eggs: MasterChef Tip,147,194,50050
"Jun 19, 2013",Walmart.com,,,,,How to Make Ricotta Cheese: MasterChef Tip,147,87,50050
"Jun 19, 2013",Walmart.com,,,,,How to Olive Oil Poach: MasterChef Tip,147,92,50050
"Jun 19, 2013",Walmart.com,,,,,How to Supreme Citrus Fruit: MasterChef Tip,147,162,50050
"Jun 19, 2013",Walmart.com,,,,,How to make a Roux Sauce: MasterChef Tip,147,181,50050
"Jun 19, 2013",Walmart.com,,,,,How to Make Tempura Batter: MasterChef Tip,147,95,50050
"Jun 19, 2013",Walmart.com,,,,,How to Char Peppers: MasterChef Tip,147,149,50050
"Jun 19, 2013",Walmart.com,,,,,How to Make Pie Crust: MasterChef Tip,147,144,50050
"Jun 19, 2013",Walmart.com,,,,,Asian Marinade Recipe: MasterChef Tip,147,169,50050
"Jun 19, 2013",Walmart.com,,,,,How to Make Vanilla Infused Sugar: MasterChef Tip,147,177,50050
"Jun 19, 2013",Walmart.com,,,,,How to Make Tomato Sauce: MasterChef Tip,147,265,50050
"Jun 19, 2013",Walmart.com,,,,,Flavored Butter Recipe: MasterChef Tip,147,243,50050
"Jun 10, 2013",Walmart.com,,,,,Handpicked for Wedding Season,147,255,50050
"Jun 10, 2013",Walmart.com,,,,,Handpicked for the London Look,147,163,50050
"Jun 05, 2013",Walmart.com,,,,,Steakover Challenge Finals in Los Angeles,147,4898,50050
